State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson,Johnson
Florida,29,761,67,0.4335,0.4265,0.08,0.08
Florida,29,1195,66,0.313,0.397,0.08,0.08
Florida,29,744,64,0.431,0.439,0.05,0.05
Florida,29,616,64,0.4695,0.4705,0.053636
Florida,29,781,62,0.4245,0.4555,0.03,0.03
Florida,29,1193,61,0.432,0.428,0.05,0.05
Florida,29,800,60,0.4505,0.4395,0.053636
Florida,29,1347,59,0.313,0.407,0.07,0.07
Florida,29,788,59,0.4405,0.4695,0.06,0.06
Florida,29,867,56,0.4115,0.3985,0.09,0.09
Florida,29,722,56,0.4595,0.5005,0.053636
Florida,29,475,56,0.4895,0.4405,0.06,0.06
Florida,29,1125,52,0.303,0.427,0.08,0.08
Florida,29,617,52,0.4305,0.4095,0.08,0.08
Florida,29,400,52,0.457,0.413,0.06,0.06
Florida,29,811,50,0.4895,0.4505,0.053636
Florida,29,764,50,0.4615,0.4785,0.053636
Florida,29,500,49,0.4365,0.4535,0.03,0.03
Florida,29,956,46,0.343,0.407,0.06,0.06
Florida,29,785,43,0.4615,0.4885,0.05,0.05
Florida,29,701,43,0.4795,0.4605,0.053636
Florida,29,826,42,0.451,0.429,0.03,0.03
Florida,29,820,41,0.465,0.415,0.07,0.07
Florida,29,619,41,0.4665,0.4635,0.04,0.04
Florida,29,1270,40,0.353,0.417,0.06,0.06
Florida,29,686,40,0.4085,0.3815,0.06,0.06
Florida,29,545,39,0.4635,0.4065,0.05,0.05
Florida,29,1000,36,0.44,0.41,0.06,0.06
Florida,29,979,36,0.4895,0.4405,0.053636
Florida,29,600,36,0.4465,0.4435,0.04,0.04
Florida,29,821,35,0.4755,0.4445,0.02,0.02
Florida,29,700,35,0.4535,0.4165,0.05,0.05
Florida,29,398,34,0.4815,0.4685,0.053636
Florida,29,893,33,0.373,0.367,0.06,0.06
Florida,29,400,32,0.49,0.43,0.01,0.01
Florida,29,1019,29,0.4795,0.4205,0.053636
Florida,29,533,29,0.4665,0.4435,0.05,0.05
Florida,29,1799,27,0.4655,0.4145,0.02,0.02
Florida,29,1702,27,0.433,0.447,0.07
Florida,29,985,27,0.461,0.419,0.05,0.05
Florida,29,964,27,0.373,0.387,0.06
Florida,29,401,26,0.4915,0.4585,0.053636































