State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
New Hampshire,4,600,66,0.4535,0.3625,0.14
New Hampshire,4,176,64,0.475,0.395,0.09538 
New Hampshire,4,737,63,0.375,0.355,0.15
New Hampshire,4,179,58,0.465,0.405,0.09538
New Hampshire,4,400,52,0.47,0.38,0.1
New Hampshire,4,502,51,0.421,0.351,0.06
New Hampshire,4,493,51,0.4815,0.4685,0.09538
New Hampshire,4,170,50,0.465,0.415,0.09538
New Hampshire,4,522,48,0.4205,0.4205,0.05
New Hampshire,4,491,45,0.4815,0.4815,0.11
New Hampshire,4,600,44,0.429,0.369,0.13
New Hampshire,4,186,43,0.485,0.405,0.09538
New Hampshire,4,500,39,0.455,0.385,0.07
New Hampshire,4,500,38,0.4365,0.4165,0.05
New Hampshire,4,309,34,0.5015,0.4485,0.09538
New Hampshire,4,600,32,0.48875,0.37875,0.09538
New Hampshire,4,501,29,0.411,0.381,0.11
New Hampshire,4,569,28,0.4715,0.3615,0.1
New Hampshire,4,308,28,0.5,0.46,0.09538
New Hampshire,4,755,26,0.4815,0.3315,0.08
New Hampshire,4,900,22,0.4335,0.3535,0.1

