State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
North Carolina,15,751,64,0.425,0.375,0.15
North Carolina,15,500,63,0.4065,0.4435,0.04
North Carolina,15,600,58,0.42,0.42,0.05
North Carolina,15,644,55,0.428,0.443,0.06
North Carolina,15,782,52,0.407,0.413,0.11
North Carolina,15,404,50,0.43,0.42,0.1
North Carolina,15,734,50,0.4,0.45,0.06
North Carolina,15,1024,50,0.43875,0.44125,0.06
North Carolina,15,694,46,0.4455,0.4245,0.07
North Carolina,15,660,41,0.448,0.392,0.09
North Carolina,15,535,40,0.465,0.425,0.07
North Carolina,15,805,39,0.44,0.43,0.06
North Carolina,15,656,38,0.4595,0.4405,0.05
