State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Pennsylvania,20,1091,68,0.45,0.37,0.06
Pennsylvania,20,778,65,0.44,0.39,0.09
Pennsylvania,20,405,55,0.4,0.32,0.14
Pennsylvania,20,420,51,0.42,0.41,0.04
Pennsylvania,20,486,48,0.4,0.38,0.08
Pennsylvania,20,500,47,0.453,0.427,0.08
Pennsylvania,20,949,46,0.46875,0.42125,0.03
Pennsylvania,20,771,46,0.465,0.425,0.06
Pennsylvania,20,535,39,0.45,0.41,0.05
Pennsylvania,20,496,39,0.472,0.382,0.05
Pennsylvania,20,402,37,0.5,0.4,0.05
Pennsylvania,20,709,34,0.49035,0.36965,0.06
Pennsylvania,20,997,33,0.472,0.408,0.04
