State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Wisconsin,10,523,68,0.375,0.405,0.072
Wisconsin,10,784,66,0.413,0.287,0.08
Wisconsin,10,533,60,0.425,0.405,0.072
Wisconsin,10,786,59,0.373,0.267,0.08
Wisconsin,10,526,54,0.405,0.415,0.072
Wisconsin,10,677,53,0.4105,0.3795,0.11
Wisconsin,10,748,52,0.423,0.237,0.08
Wisconsin,10,553,51,0.5015,0.4585,0.072
Wisconsin,10,700,50,0.4435,0.3865,0.11
Wisconsin,10,592,47,0.415,0.425,0.072
Wisconsin,10,672,46,0.413,0.277,0.07
Wisconsin,10,575,44,0.5015,0.4685,0.03
Wisconsin,10,691,39,0.433,0.277,0.08
Wisconsin,10,1102,35,0.4855,0.3945,0.04
Wisconsin,10,993,33,0.422,0.398,0.04
