State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson,
Florida,29,744,64,0.42125,0.44875,0.05,
Florida,29,781,62,0.4155,0.4645,0.03,
Florida,29,1193,61,0.448,0.412,0.05,
Florida,29,788,60,0.4395,0.4705,0.06,
Florida,29,867,57,0.4085,0.4015,0.09,
Florida,29,400,52,0.46,0.41,0.06,
Florida,29,500,49,0.4435,0.4465,0.03,
Florida,29,619,41,0.4735,0.4565,0.04,
Florida,29,820,41,0.455,0.425,0.07,
Florida,29,545,39,0.4565,0.4135,0.05,
Florida,29,686,38,0.4115,0.3785,0.06,
Florida,29,1000,36,0.44,0.41,0.06,
Florida,29,600,36,0.4335,0.4565,0.04,
Florida,29,700,35,0.4525,0.4175,0.05,
Florida,29,821,35,0.4645,0.4555,0.02,
Florida,29,533,29,0.4735,0.4365,0.05,
