State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson,,,
New Hampshire,4,600,66,0.4535,0.3625,0.14,,,
New Hampshire,4,737,63,0.375,0.355,0.15,,,
New Hampshire,4,179,58,0.465,0.405,0.1,,,
New Hampshire,4,400,52,0.47,0.38,0.10,,,
New Hampshire,4,502,51,0.421,0.351,0.13,,,
New Hampshire,4,522,48,0.4205,0.4205,0.06,,,
New Hampshire,4,39,47,0.403,0.393,0.05,,,
New Hampshire,4,491,45,0.4815,0.4815,0.04,,,
New Hampshire,4,600,44,0.429,0.369,0.11,,,
New Hampshire,4,74,39,0.463,0.213,0.09,,,
New Hampshire,4,500,38,0.4365,0.4165,0.05,,,
New Hampshire,4,600,32,0.48875,0.37875,0.1,,,

