State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson,
Ohio,18,458,67,0.465,0.465,0.07,
Ohio,18,458,67,0.465,0.465,0.07,
Ohio,18,828,62,0.313,0.337,0.08,
Ohio,18,769,62,0.41,0.46,0.08,
Ohio,18,994,62,0.452,0.398,0.07,
Ohio,18,828,62,0.313,0.337,0.08,
Ohio,18,769,62,0.41,0.46,0.08,
Ohio,18,994,62,0.452,0.398,0.07,
Ohio,18,450,60,0.465,0.445,0.07,
Ohio,18,802,60,0.39,0.44,0.1,
Ohio,18,450,60,0.465,0.445,0.07,
Ohio,18,802,60,0.39,0.44,0.1,
Ohio,18,400,59,0.385,0.415,0.11,
Ohio,18,400,59,0.385,0.415,0.11,
Ohio,18,554,57,0.482,0.489,0.07,
Ohio,18,500,57,0.387,0.424,0.04,
Ohio,18,554,57,0.482,0.489,0.07,
Ohio,18,500,57,0.387,0.424,0.04,
Ohio,18,846,55,0.343,0.327,0.08,
Ohio,18,846,55,0.343,0.327,0.08,
Ohio,18,652,54,0.4,0.37,0.08,
Ohio,18,652,54,0.4,0.37,0.08,
Ohio,18,407,53,0.455,0.435,0.07,
Ohio,18,407,53,0.455,0.435,0.07,
Ohio,18,737,51,0.37,0.42,0.06,
Ohio,18,737,51,0.37,0.42,0.06,
Ohio,18,548,50,0.482,0.489,0.04,
Ohio,18,737,48,0.323,0.347,0.09,
Ohio,18,737,48,0.323,0.347,0.09,
Ohio,18,850,47,0.426,0.425,0.06,
Ohio,18,850,47,0.426,0.425,0.06,
Ohio,18,557,46,0.435,0.435,0.07,
Ohio,18,871,42,0.363,0.337,0.06,
Ohio,18,497,42,0.425,0.465,0.06,
Ohio,18,800,42,0.44,0.42,0.08,
Ohio,18,609,39,0.455,0.435,0.07,
Ohio,18,405,38,0.44,0.42,0.05,
Ohio,18,341,37,0.502,0.459,0.07,
Ohio,18,812,36,0.43,0.4,0.08,
Ohio,18,794,35,0.323,0.357,0.07,
Ohio,18,997,34,0.452,0.428,0.05,
Ohio,18,782,34,0.449,0.421,0.05,
Ohio,18,1152,30,0.43,0.34,0.1,
