State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Virginia,13,743.0,67,0.495,0.375,0.0825
Virginia,13,560.0,67,0.363,0.287,0.1200
Virginia,13,685.0,60,0.4,0.37,0.0800
Virginia,13,560.0,59,0.373,0.307,0.0900
Virginia,13,878.0,59,0.4588,0.3812,0.0600
Virginia,13,435.0,57,0.465,0.385,0.0825
Virginia,13,1237.0,55,0.445,0.375,0.0700
Virginia,13,841.0,54,0.4385,0.3715,0.0800
Virginia,13,659.0,52,0.455,0.385,0.0800
Virginia,13,616.0,52,0.363,0.367,0.0800
Virginia,13,495.0,51,0.4615,0.4985,0.0825
Virginia,13,1003.0,50,0.387,0.333,0.1500
Virginia,13,452.0,50,0.465,0.395,0.0825
Virginia,13,849.0,47,0.475,0.405,0.0825
Virginia,13,546.0,46,0.403,0.317,0.0800
Virginia,13,510.0,43,0.4515,0.4985,0.0400
Virginia,13,811.0,42,0.4688,0.3912,0.0700
Virginia,13,892.0,41,0.417,0.353,0.1200
Virginia,13,800.0,39,0.4595,0.3405,0.0825
Virginia,13,629.0,39,0.413,0.267,0.0700
Virginia,13,479.0,36,0.495,0.395,0.0825
Virginia,13,814.0,35,0.4485,0.3615,0.0700
Virginia,13,325.0,34,0.4815,0.4685,0.0825
Virginia,13,539.0,32,0.343,0.367,0.0600
