State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Colorado,9,417,68,0.405,0.435,0.0933
Colorado,9,626,66,0.373,0.287,0.13
Colorado,9,421,61,0.395,0.435,0.0933
Colorado,9,603,59,0.363,0.287,0.12
Colorado,9,600,58,0.3735,0.4265,0.13
Colorado,9,391,54,0.415,0.445,0.0933
Colorado,9,350,53,0.412,0.338,0.12
Colorado,9,550,52,0.413,0.277,0.09
Colorado,9,644,52,0.445,0.415,0.1
Colorado,9,538,51,0.4915,0.4485,0.0933
Colorado,9,799,47,0.3755,0.4045,0.06
Colorado,9,991,47,0.392,0.398,0.07
Colorado,9,784,47,0.41,0.42,0.13
Colorado,9,463,47,0.425,0.455,0.0933
Colorado,9,530,46,0.373,0.307,0.1
Colorado,9,553,44,0.4815,0.4685,0.05
Colorado,9,602,43,0.44,0.33,0.1
Colorado,9,694,42,0.46875,0.39125,0.06
Colorado,9,400,39,0.49,0.38,0.07
Colorado,9,558,39,0.393,0.277,0.09
Colorado,9,552,38,0.445,0.455,0.0933
Colorado,9,1246,36,0.4055,0.3945,0.1
Colorado,9,338,34,0.5015,0.4385,0.0933
Colorado,9,561,33,0.465,0.415,0.0933
Colorado,9,529,32,0.413,0.257,0.1
Colorado,9,1226,27,0.4455,0.3865,0.06






