State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Iowa,6,402,66,0.363,0.297,0.1
Iowa,6,347,64,0.405,0.495,0.086153846
Iowa,6,1054,62,0.39,0.4,0.1
Iowa,6,411,59,0.303,0.347,0.09
Iowa,6,344,57,0.405,0.515,0.086153846
Iowa,6,404,56,0.37,0.45,0.08
Iowa,6,612,52,0.375,0.435,0.1
Iowa,6,387,52,0.303,0.307,0.11
Iowa,6,481,51,0.4715,0.4885,0.086153846
Iowa,6,343,50,0.415,0.495,0.086153846
Iowa,6,491,48,0.3745,0.3855,0.09
Iowa,6,362,46,0.363,0.297,0.11
Iowa,6,491,44,0.4815,0.4885,0.04
Iowa,6,411,39,0.383,0.287,0.06
Iowa,6,382,36,0.445,0.445,0.086153846
Iowa,6,642,35,0.39,0.43,0.06
Iowa,6,322,34,0.4915,0.4685,0.086153846
Iowa,6,360,33,0.373,0.267,0.08
Iowa,6,813,31,0.42,0.36,0.1
