State,Evotes,Sample_Size,Time,Clinton,Trump,Johnson
Pennsylvania,20,1091,68,0.45,0.37,0.06
Pennsylvania,20,778,65,0.44,0.39,0.09
Pennsylvania,20,422,64,0.495,0.435,0.065185185
Pennsylvania,20,831,59,0.343,0.357,0.09
Pennsylvania,20,423,57,0.465,0.435,0.065185185
Pennsylvania,20,405,55,0.4,0.32,0.14
Pennsylvania,20,400,54,0.448,0.392,0.08
Pennsylvania,20,772,52,0.353,0.357,0.08
Pennsylvania,20,605,51,0.4715,0.4785,0.065185185
Pennsylvania,20,420,51,0.42,0.41,0.04
Pennsylvania,20,387,50,0.465,0.455,0.065185185
Pennsylvania,20,486,48,0.4,0.38,0.08
Pennsylvania,20,500,47,0.453,0.427,0.08
Pennsylvania,20,949,46,0.46875,0.42125,0.03
Pennsylvania,20,771,46,0.465,0.425,0.06
Pennsylvania,20,734,45,0.353,0.357,0.09
Pennsylvania,20,649,43,0.4615,0.4985,0.04
Pennsylvania,20,500,43,0.455,0.415,0.065185185
Pennsylvania,20,886,41,0.451,0.389,0.06
Pennsylvania,20,840,39,0.373,0.367,0.06
Pennsylvania,20,535,39,0.455,0.405,0.05
Pennsylvania,20,496,39,0.472,0.382,0.05
Pennsylvania,20,402,37,0.5,0.4,0.05
Pennsylvania,20,468,36,0.495,0.425,0.05
Pennsylvania,20,709,34,0.49035,0.36965,0.06
Pennsylvania,20,369,34,0.4915,0.4685,0.04
Pennsylvania,20,997,33,0.472,0.408,0.04
Pennsylvania,20,764,32,0.4395,0.4005,0.05
Pennsylvania,20,737,32,0.403,0.337,0.04
Pennsylvania,20,1097,31,0.45,0.39,0.07
Pennsylvania,20,806,30,0.48,0.39,0.06
Pennsylvania,20,1153,29,0.465,0.415,0.065185185
Pennsylvania,20,380,27,0.515,0.4585,0.065185185
Pennsylvania,20,1449,27,0.46,0.4,0.08
Pennsylvania,20,717,27,0.393,0.357,0.07
Pennsylvania,20,660,26,0.475,0.405,0.06
